company_id,company_name,industry,state,company_age_years,annual_revenue_cr,ebitda_cr,net_profit_cr,total_debt_cr,net_worth_cr,capacity_utilization_pct,employee_count,gst_turnover_cr,bank_credit_flow_cr,litigation_cases,auditor_flag,promoter_experience_years,past_default_flag,industry_risk_score,news_sentiment_score,collateral_value_cr,credit_rating,loan_amount_requested_cr,debt_to_ebitda,profit_margin_pct,gst_bank_gap_cr,collateral_coverage_ratio
1,Corp_1,Steel,Karnataka,12,401.17,231.56,112.3,283.15,453.21,64.3,1640,1004.57,235.19,7,0,3,0,5,3,680.12,BBB,278.65,1.22,27.99,769.38,2.44
2,Corp_2,Food Processing,Gujarat,22,925.75,70.9,33.66,268.68,670.63,42.1,4675,627.77,51.81,1,1,14,1,9,5,348.0,AAA,283.12,3.79,3.64,575.96,1.23
3,Corp_3,Chemicals,Rajasthan,15,1196.82,61.38,8.37,409.55,577.16,76.4,3899,921.22,679.58,4,0,14,0,2,-4,703.81,BB,211.28,6.67,0.7,241.64,3.33
4,Corp_4,IT Services,Tamil Nadu,13,758.7,105.62,86.46,42.74,378.07,55.3,2225,868.47,1102.88,3,0,29,0,3,-2,639.39,A,100.21,0.4,11.4,-234.41,6.38
5,Corp_5,IT Services,Haryana,23,62.0,191.12,-17.46,333.88,804.36,79.9,3152,931.01,578.91,3,1,31,1,5,0,888.82,CCC,34.96,1.75,-28.16,352.1,25.42
6,Corp_6,Retail,Uttar Pradesh,3,161.16,247.85,-6.88,111.56,600.89,50.3,3855,1183.74,46.29,6,0,4,0,1,0,541.28,AA,68.18,0.45,-4.27,1137.45,7.94
7,Corp_7,Retail,Telangana,15,161.75,203.92,94.91,325.35,21.6,89.7,1621,587.41,38.08,0,0,19,0,2,5,632.71,AA,266.88,1.6,58.68,549.33,2.37
8,Corp_8,Food Processing,Tamil Nadu,21,748.27,183.62,6.43,113.1,27.38,73.6,1117,297.49,530.07,7,0,7,0,6,3,689.59,B,208.27,0.62,0.86,-232.58,3.31
9,Corp_9,Retail,Tamil Nadu,16,322.81,23.18,4.46,183.59,183.04,81.1,997,1061.18,994.12,0,0,12,0,8,-2,704.95,BB,211.96,7.92,1.38,67.06,3.33
10,Corp_10,Infrastructure,Karnataka,34,128.51,25.87,81.43,13.12,609.66,72.6,3872,498.93,113.7,6,0,17,0,5,4,329.02,AAA,85.1,0.51,63.36,385.23,3.87
11,Corp_11,Food Processing,Delhi,28,1057.67,50.15,-10.08,470.26,596.86,38.4,3130,326.52,264.65,3,0,17,0,3,4,656.23,CCC,116.49,9.38,-0.95,61.87,5.63
12,Corp_12,Infrastructure,Uttar Pradesh,27,1125.25,168.24,50.31,204.52,301.01,85.1,2488,72.55,988.78,2,0,18,1,9,-1,248.07,CCC,169.78,1.22,4.47,-916.23,1.46
